,active_finished_ratio,answer_time,first_sold_time,max_active_cost,max_finished_cost,mean_active_cost,mean_finished_cost,min_active_cost,min_finished_cost,n_active,n_finished,name,person_status,start_date,url
1645,0.5,,736817.0,,580000.0,,580000.0,,580000.0,0,1,антонина иванникова,частное лицо,736634.0,https://www.avito.ru/user/9c4a3b2ad65ec463fd12ecac2633579f/profile
1646,2.2142857142857144,"Редко отвечает на сообщения, рекомендуем звонить",736260.0,21000.0,25000.0,5546.4333333333325,7407.307692307691,500.0,1999.0,30,13,елена,частное лицо,735265.0,https://www.avito.ru/user/8cd43017677c2e9728b71e489f12a3b8/profile
1647,0.17857142857142858,Отвечает за несколько часов,735456.0,21000.0,3300000.0,5850.0,124124.44444444445,400.0,0.0,4,27,елена,частное лицо,734685.0,https://www.avito.ru/user/a9c1075290ff9b73876d50b806e94f6b/profile
1648,2.1111111111111107,Отвечает за несколько часов,735870.0,1500.0,500.0,522.2222222222222,225.0,200.0,100.0,18,8,анна,частное лицо,733832.0,https://www.avito.ru/user/efacb4963ea292ee3a8900eb52a77910/profile
1649,13.0,,,750000.0,,63050.0,,200.0,,12,0,виктория,частное лицо,736238.0,https://www.avito.ru/user/d9071f56e993d62c0d182d54bfda33ab/profile
1650,2.0,,,12000.0,,12000.0,,12000.0,,1,0,глеб,частное лицо,736542.0,https://www.avito.ru/user/4409d3a62dfcda2610700330b0493ceb/profile
1651,1.0,"Редко отвечает на сообщения, рекомендуем звонить",736881.0,5000.0,2000.0,1022.7272727272727,392.7272727272728,0.0,40.0,11,11,татьяна,частное лицо,736573.0,https://www.avito.ru/user/1d4e388a0480bb39d73b0e821d2b81af/profile
1652,3.866666666666666,Отвечает за несколько часов,736311.0,11000.0,2000.0,1344.701754385965,697.0714285714287,0.0,0.0,57,14,аня,компания,734077.0,https://www.avito.ru/user/97e21f74acfaf4a720fd23003da4c4ed/profile
1653,1.2424242424242424,Отвечает за несколько часов,736852.0,20000.0,23000.0,7202.5,10446.875,2200.0,3500.0,40,32,alisa,частное лицо,736542.0,https://www.avito.ru/user/542e45621fbce92cf0f26a8ee806c545/profile
1654,0.3333333333333333,,736818.0,,1500.0,,750.0,,0.0,0,2,феруза,частное лицо,736726.0,https://www.avito.ru/user/fe4e45f9597829a60325376522006e9d/profile
1655,6.0,,,1500.0,,696.0,,80.0,,5,0,светлана,частное лицо,736238.0,https://www.avito.ru/user/0580d43ed5e64cd2b410cf3f7a509ceb/profile
1656,0.1111111111111111,Отвечает около 30 минут,736989.0,,1500.0,,655.0,,350.0,0,8,виктор,частное лицо,735173.0,https://www.avito.ru/user/1ee3d9d9a96501be709dcaf97116dd6a/profile
1657,0.6753246753246753,Отвечает за несколько часов,736651.0,7500.0,17000.0,1344.078431372549,1111.3026315789473,200.0,80.0,51,76,ирина,частное лицо,736573.0,https://www.avito.ru/user/fc6ce9bc626c75172eaedf1a02765978/profile
1658,0.2,Отвечает за несколько часов,736565.0,,5800.0,,3950.0,,1500.0,0,4,дарья,частное лицо,735507.0,https://www.avito.ru/user/b7e5ab1346f6e6b91213996340af2e7c/profile
1659,1.125,Отвечает за несколько часов,736724.0,10000.0,18000.0,4587.5,6842.857142857143,600.0,700.0,8,7,анна,частное лицо,736116.0,https://www.avito.ru/user/934d1fa36d5891bb3f34eddecc686d5e/profile
1660,2.125,"Редко отвечает на сообщения, рекомендуем звонить",736882.0,600.0,10000.0,359.375,2221.428571428572,0.0,0.0,16,7,наталья,частное лицо,734808.0,https://www.avito.ru/user/4f874cb3361eb7b8be2d9b98c0263004/profile
1661,0.3636363636363637,,736664.0,1390.0,5000.0,617.1428571428571,874.190476190476,250.0,60.0,7,21,ирина,частное лицо,736024.0,https://www.avito.ru/user/d5dfd2538fbbad72f28fd5e796689368/profile
1662,0.7384615384615385,Отвечает в течение дня,735550.0,125000.0,7500.0,5728.723404255318,1760.765625,500.0,100.0,47,64,елена,частное лицо,733042.0,https://www.avito.ru/user/1240b1dcb3893d27da59641fbf2a4596/profile
1663,1.6666666666666667,,736826.0,3000.0,500.0,1325.0,300.0,300.0,100.0,4,2,инга,частное лицо,735265.0,https://www.avito.ru/user/e64874ed12b64c2008ab48d3fc5cef9f/profile
1664,19.5,Отвечает около часа,736999.0,2000.0,100.0,480.0,100.0,100.0,100.0,38,1,татьяна,частное лицо,735293.0,https://www.avito.ru/user/93929fadbe99655a6fdd99bf1eb0bb73/profile
1665,1.625,"Редко отвечает на сообщения, рекомендуем звонить",734594.0,12000.0,535000.0,1444.0,75314.66666666669,200.0,50.0,25,15,юлия,частное лицо,734594.0,https://www.avito.ru/user/f343541c47cc98802151e75db5e67562/profile
1666,0.625,,736953.0,800.0,1300.0,500.0,385.71428571428567,250.0,100.0,4,7,мария,компания,735385.0,https://www.avito.ru/user/8c7e980a30134b30bde1be3375373337/profile
1667,0.6,,736957.0,150.0,1100.0,150.0,582.5,150.0,130.0,2,4,гульназ,частное лицо,736815.0,https://www.avito.ru/user/eb723427fda8bc8541632d7b5b1826e1/profile
1668,6.25,Отвечает около часа,736900.0,20000.0,10000.0,5595.833333333332,4400.0,500.0,1200.0,24,3,элина,частное лицо,736876.0,https://www.avito.ru/user/a07b870851a8aaaac4479b5b28d4ebaa/profile
1669,1.0526315789473684,"Редко отвечает на сообщения, рекомендуем звонить",736551.0,2100.0,5000.0,965.7894736842104,1786.111111111111,400.0,550.0,19,18,светлана,частное лицо,734138.0,https://www.avito.ru/user/0c43b8e4d102a06327627b43c680e391/profile
1670,0.42857142857142855,,735984.0,2000.0,4500.0,1500.0,1750.0,1000.0,0.0,2,6,мария,частное лицо,735293.0,https://www.avito.ru/user/2c14d6cd4716e055ced0ea32679ff745/profile
1671,1.2093023255813953,Отвечает около 30 минут,736865.0,1400000.0,15000.0,16420.388349514564,2889.4117647058824,300.0,0.0,103,85,любовь,частное лицо,736785.0,https://www.avito.ru/user/d6a5991cec195c3e9400f255e0731af4/profile
